C:\Users\10031\PycharmProjects\GCN_Elliptic_dataset\venv\Scripts\python.exe C:/Users/10031/PycharmProjects/GCN_Elliptic_dataset/Elliptic_dataset_GCN.py
cuda
Number of edges: 234355
Number of nodes: 203769
Epoch: 50, Train_Loss: 0.3851, Val_Loss: 0.4023, Precision: 0.7870, Recall: 0.4811, Illicit f1: 0.5971, F1: 0.9578
Epoch: 100, Train_Loss: 0.3722, Val_Loss: 0.3995, Precision: 0.7599, Recall: 0.5143, Illicit f1: 0.6134, F1: 0.9579
Epoch: 150, Train_Loss: 0.3660, Val_Loss: 0.4001, Precision: 0.7885, Recall: 0.4958, Illicit f1: 0.6088, F1: 0.9586
Epoch: 200, Train_Loss: 0.3618, Val_Loss: 0.4045, Precision: 0.8437, Recall: 0.4386, Illicit f1: 0.5772, F1: 0.9582
Epoch: 250, Train_Loss: 0.3592, Val_Loss: 0.3999, Precision: 0.7953, Recall: 0.4986, Illicit f1: 0.6129, F1: 0.9591
Epoch: 300, Train_Loss: 0.3557, Val_Loss: 0.4013, Precision: 0.8220, Recall: 0.4820, Illicit f1: 0.6077, F1: 0.9596
Epoch: 350, Train_Loss: 0.3560, Val_Loss: 0.3979, Precision: 0.7963, Recall: 0.5125, Illicit f1: 0.6236, F1: 0.9598
Epoch: 400, Train_Loss: 0.3536, Val_Loss: 0.3979, Precision: 0.8414, Recall: 0.4995, Illicit f1: 0.6269, F1: 0.9614
Epoch: 450, Train_Loss: 0.3528, Val_Loss: 0.3986, Precision: 0.8401, Recall: 0.4949, Illicit f1: 0.6229, F1: 0.9611
Epoch: 500, Train_Loss: 0.3517, Val_Loss: 0.3991, Precision: 0.8619, Recall: 0.4783, Illicit f1: 0.6152, F1: 0.9611
Epoch: 550, Train_Loss: 0.3512, Val_Loss: 0.4025, Precision: 0.8668, Recall: 0.4506, Illicit f1: 0.5930, F1: 0.9598
Epoch: 600, Train_Loss: 0.3506, Val_Loss: 0.4058, Precision: 0.8854, Recall: 0.4211, Illicit f1: 0.5707, F1: 0.9588
Epoch: 650, Train_Loss: 0.3497, Val_Loss: 0.4041, Precision: 0.8853, Recall: 0.4349, Illicit f1: 0.5833, F1: 0.9596
Epoch: 700, Train_Loss: 0.3489, Val_Loss: 0.4036, Precision: 0.8707, Recall: 0.4414, Illicit f1: 0.5858, F1: 0.9594
Epoch: 750, Train_Loss: 0.3487, Val_Loss: 0.4013, Precision: 0.8418, Recall: 0.4765, Illicit f1: 0.6085, F1: 0.9602
Epoch: 800, Train_Loss: 0.3485, Val_Loss: 0.4008, Precision: 0.8576, Recall: 0.4728, Illicit f1: 0.6095, F1: 0.9606
Epoch: 850, Train_Loss: 0.3482, Val_Loss: 0.4070, Precision: 0.9081, Recall: 0.4017, Illicit f1: 0.5570, F1: 0.9585
Epoch: 900, Train_Loss: 0.3475, Val_Loss: 0.4033, Precision: 0.8945, Recall: 0.4386, Illicit f1: 0.5886, F1: 0.9602
Epoch: 950, Train_Loss: 0.3474, Val_Loss: 0.4005, Precision: 0.8808, Recall: 0.4709, Illicit f1: 0.6137, F1: 0.9615
Epoch: 1000, Train_Loss: 0.3475, Val_Loss: 0.4056, Precision: 0.8816, Recall: 0.4331, Illicit f1: 0.5808, F1: 0.9594

Process finished with exit code 0
